,year,protest_time
13647,1990,0
13648,1991,1
13649,1992,0
13650,1993,0
13651,1994,0
13652,1995,0
13653,1996,0
13654,1997,1
13655,1998,1
13656,1999,0
13657,2000,0
13658,2001,0
13659,2002,2
13660,2003,0
13661,2004,0
13662,2005,1
13663,2005,1
13664,2006,0
13665,2007,0
13666,2008,0
13667,2009,0
13668,2010,0
13669,2011,2
13670,2011,1
13671,2011,1
13672,2011,1
13673,2012,1
13674,2013,1
13675,2014,1
13676,2014,1
13677,2014,1
13678,2014,1
13679,2014,1
13680,2014,1
13681,2015,1
13682,2015,1
13683,2015,1
13684,2015,1
13685,2015,1
13686,2016,1
13687,2016,1
13688,2016,1
13689,2016,1
13690,2017,1
13691,2017,4
13692,2017,1
13693,2018,1
13694,2018,1
13695,2018,1
13696,2018,1
13697,2018,1
13698,2018,1
13699,2018,1
13700,2018,1
13701,2019,1
13702,2020,0
5633,1990,1
5634,1990,1
5635,1990,1
5636,1990,1
5637,1990,2
5638,1991,1
5639,1991,1
5640,1991,1
5641,1991,1
5642,1991,1
5643,1991,1
5644,1991,1
5645,1991,1
5646,1992,1
5647,1992,1
5648,1992,4
5649,1993,1
5650,1993,1
5651,1994,8
5652,1995,0
5653,1996,1
5654,1997,1
5655,1997,1
5656,1997,1
5657,1997,1
5658,1997,1
5659,1997,1
5660,1997,1
5661,1997,1
5662,1997,1
5663,1997,1
5664,1997,1
5665,1998,1
5666,1998,1
5667,1998,1
5668,1999,0
5669,2000,1
5670,2001,0
5671,2002,0
5672,2003,0
5673,2004,0
5674,2005,0
5675,2006,0
5676,2007,0
5677,2008,0
5678,2009,0
5679,2010,32
5680,2010,1
5681,2010,14
5682,2010,1
5683,2010,1
5684,2010,1
5685,2011,1
5686,2011,1
5687,2011,1
5688,2012,0
5689,2013,1
5690,2013,1
5691,2013,2
5692,2014,0
5693,2015,0
5694,2016,0
5695,2017,1
5696,2017,1
5697,2018,1
5698,2018,1
5699,2018,1
5700,2018,1
5701,2018,1
5702,2018,1
5703,2018,1
5704,2018,1
5705,2018,1
5706,2018,1
5707,2018,1
5708,2019,1
5709,2019,1
5710,2019,1
5711,2019,1
5712,2019,1
5713,2019,1
5714,2019,1
5715,2019,1
5716,2019,1
5717,2019,1
5718,2019,1
5719,2019,1
5720,2019,1
5721,2019,1
5722,2019,1
5723,2019,1
5724,2019,1
5725,2020,1
12119,1990,1
12120,1990,1
12121,1991,14
12122,1991,4
12123,1992,1
12124,1992,1
12125,1992,2
12126,1992,2
12127,1992,2
12128,1992,1
12129,1993,0
12130,1994,0
12131,1995,0
12132,1996,0
12133,1997,1
12134,1998,2
12135,1999,1
12136,2000,0
12137,2001,3
12138,2001,1
12139,2001,2
12140,2001,1
12141,2001,1
12142,2001,1
12143,2002,0
12144,2003,0
12145,2004,0
12146,2005,0
12147,2006,0
12148,2007,0
12149,2008,0
12150,2009,2
12151,2010,0
12152,2011,1
12153,2012,0
12154,2013,1
12155,2013,1
12156,2014,1
12157,2014,1
12158,2014,1
12159,2014,1
12160,2014,1
12161,2014,1
12162,2014,1
12163,2014,3
12164,2014,1
12165,2014,2
12166,2014,1
12167,2015,1
12168,2015,1
12169,2015,1
12170,2016,0
12171,2017,32
12172,2017,8
12173,2018,0
12174,2019,1
12175,2019,1
12176,2019,1
12177,2019,1
12178,2019,1
12179,2019,1
12180,2019,1
12181,2019,1
12182,2019,1
12183,2019,1
12184,2019,1
12185,2019,1
12186,2019,1
12187,2019,2
12188,2019,1
12189,2019,1
12190,2019,1
12191,2019,1
12192,2019,1
12193,2019,1
12194,2019,1
12195,2019,1
12196,2019,1
12197,2019,1
12198,2019,1
12199,2019,1
12200,2019,1
12201,2019,1
12202,2019,1
12203,2019,1
12204,2019,1
12205,2019,1
12206,2019,1
12207,2019,1
12208,2019,1
12209,2019,1
12210,2019,1
12211,2019,1
12212,2019,1
12213,2019,1
12214,2019,1
12215,2019,1
12216,2019,1
12217,2019,1
12218,2019,1
12219,2019,1
12220,2019,1
12221,2019,1
12222,2019,1
12223,2019,1
12224,2019,1
12225,2019,1
12226,2019,1
12227,2019,1
12228,2019,1
12229,2019,1
12230,2019,1
12231,2019,1
12232,2019,1
12233,2019,1
12234,2019,1
12235,2019,1
12236,2019,1
12237,2019,1
12238,2019,1
12239,2019,1
12240,2020,0
10783,1990,0
10784,1991,1
10785,1992,0
10786,1993,0
10787,1994,1
10788,1995,0
10789,1996,0
10790,1997,0
10791,1998,0
10792,1999,1
10793,2000,1
10794,2000,1
10795,2001,1
10796,2002,1
10797,2003,1
10798,2003,1
10799,2003,1
10800,2004,1
10801,2005,1
10802,2005,1
10803,2006,1
10804,2007,0
10805,2008,0
10806,2009,1
10807,2010,0
10808,2011,0
10809,2012,1
10810,2013,1
10811,2013,1
10812,2014,0
10813,2015,1
10814,2015,1
10815,2015,1
10816,2016,1
10817,2017,1
10818,2018,0
10819,2019,1
10820,2020,0
2608,1990,1
2609,1990,3
2610,1990,1
2611,1990,1
2612,1990,1
2613,1990,2
2614,1990,1
2615,1990,1
2616,1991,1
2617,1991,1
2618,1992,1
2619,1992,1
2620,1993,1
2621,1993,2
2622,1993,1
2623,1994,1
2624,1994,1
2625,1994,1
2626,1994,1
2627,1994,1
2628,1994,1
2629,1994,1
2630,1995,1
2631,1995,2
2632,1995,1
2633,1996,1
2634,1996,9
2635,1996,1
2636,1996,1
2637,1996,2
2638,1996,1
2639,1997,14
2640,1997,1
2641,1997,1
2642,1997,1
2643,1997,2
2644,1998,0
2645,1999,4
2646,1999,32
2647,1999,4
2648,1999,1
2649,2000,1
2650,2000,1
2651,2000,1
2652,2000,4
2653,2001,1
2654,2001,1
2655,2001,1
2656,2001,1
2657,2001,23
2658,2001,1
2659,2001,1
2660,2001,4
2661,2001,1
2662,2001,1
2663,2001,2
2664,2002,3
2665,2002,1
2666,2002,75
2667,2002,1
2668,2002,5
2669,2002,4
2670,2002,1
2671,2002,2
2672,2003,1
2673,2003,1
2674,2003,1
2675,2004,1
2676,2004,5
2677,2004,1
2678,2004,1
2679,2004,1
2680,2004,1
2681,2004,1
2682,2004,1
2683,2005,1
2684,2006,1
2685,2007,1
2686,2007,1
2687,2007,65
2688,2008,17
2689,2008,13
2690,2008,1
2691,2008,1
2692,2008,15
2693,2008,1
2694,2009,1
2695,2010,1
2696,2010,1
2697,2010,8
2698,2011,0
2699,2012,1
2700,2012,1
2701,2013,1
2702,2013,1
2703,2014,0
2704,2015,1
2705,2015,1
2706,2015,1
2707,2015,1
2708,2015,1
2709,2016,1
2710,2017,1
2711,2017,15
2712,2017,1
2713,2017,1
2714,2017,1
2715,2017,1
2716,2017,11
2717,2018,1
2718,2018,1
2719,2018,1
2720,2018,1
2721,2018,1
2722,2018,1
2723,2019,1
2724,2019,1
2725,2020,1
7826,1990,1
7827,1991,1
7828,1992,1
7829,1993,1
7830,1994,1
7831,1994,1
7832,1994,1
7833,1994,1
7834,1994,1
7835,1995,1
7836,1995,1
7837,1995,1
7838,1995,1
7839,1995,1
7840,1996,3
7841,1996,1
7842,1997,1
7843,1997,1
7844,1997,1
7845,1997,1
7846,1997,1
7847,1998,1
7848,1998,1
7849,1999,27
7850,1999,1
7851,2000,1
7852,2000,1
7853,2000,1
7854,2000,1
7855,2000,11
7856,2000,1
7857,2001,1
7858,2001,1
7859,2002,1
7860,2002,1
7861,2002,1
7862,2002,1
7863,2002,1
7864,2003,1
7865,2003,1
7866,2004,1
7867,2004,1
7868,2004,1
7869,2004,1
7870,2005,1
7871,2005,1
7872,2005,1
7873,2005,1
7874,2005,1
7875,2005,1
7876,2005,1
7877,2005,1
7878,2006,1
7879,2007,1
7880,2007,1
7881,2007,1
7882,2008,11
7883,2008,1
7884,2008,1
7885,2008,1
7886,2008,1
7887,2008,1
7888,2009,1
7889,2009,1
7890,2010,1
7891,2010,1
7892,2010,1
7893,2010,1
7894,2010,1
7895,2010,1
7896,2011,1
7897,2012,0
7898,2013,1
7899,2013,1
7900,2013,1
7901,2014,0
7902,2015,1
7903,2015,1
7904,2015,1
7905,2015,1
7906,2015,1
7907,2015,1
7908,2016,1
7909,2016,1
7910,2016,1
7911,2016,1
7912,2017,0
7913,2018,1
7914,2018,1
7915,2018,1
7916,2018,1
7917,2018,1
7918,2018,1
7919,2018,1
7920,2018,1
7921,2018,1
7922,2018,1
7923,2018,1
7924,2018,1
7925,2018,1
7926,2018,1
7927,2018,1
7928,2018,1
7929,2018,1
7930,2018,1
7931,2019,1
7932,2019,1
7933,2020,1
5246,1990,1
5247,1991,0
5248,1992,0
5249,1993,0
5250,1994,0
5251,1995,0
5252,1996,0
5253,1997,0
5254,1998,0
5255,1999,1
5256,2000,1
5257,2000,1
5258,2000,1
5259,2000,1
5260,2000,1
5261,2000,1
5262,2001,0
5263,2002,1
5264,2003,1
5265,2004,0
5266,2005,0
5267,2006,0
5268,2007,1
5269,2008,0
5270,2009,1
5271,2010,0
5272,2011,0
5273,2012,0
5274,2013,1
5275,2014,0
5276,2015,0
8001,1991,1
8002,1991,1
8003,1991,1
8004,1992,1
8005,1992,3
8006,1992,1
8007,1992,1
8008,1993,1
8009,1993,2
8010,1993,1
8011,1993,1
8012,1994,1
8013,1994,1
8014,1994,1
8015,1994,1
